record_no,subject,relation,object
623321,owner,had,to have intended it to stay in the car park until he can get it to another location for fixing
623321,owner,appears,to have intended it to stay in the car park until he can get it to another location for fixing
623321,he,can get,it
636690,Warehouse technician,was moving,equipment
636690,pallet,tipped,forklift forks
636690,tool,slipped,forklift forks
636690,tool,to slide,pallet
636690,_,reviewing,condition
636690,Damage,shall be followed,Quality Notification
636690,Tool,slid,pallet
506994,bumper,struck,piling
502516,smoke,was noticed,coming from a rolled up oxy - acetylene hose that was hanging
502516,smoke,form,board stand
502516,smoke,was noticed,worker
502516,he,extingushed,it
502516,einvestigation,was conducted,hose
502516,hoses,caught,fire
502516,spatter,was,hose
502516,spatter,may have ignited,hose
509311,PSC employee,was signing,delivery tickets
519599,type key,carried,party company workers _
519599,type key,fell,party company workers _
519599,no,were hit,tool
519599,TST,was accompanying,activity
519599,Skandi Niterói chave tipo,do,VLS
542762,Crew members,placed,oil paint
542762,container,failed,causing the paint to leak from the container
542762,crews,noticed,it
542762,crews,went,it
542762,crews,place,it
565140,- Gas detector,was activate,fire alarm system
565140,- Gas detector,was activate,fire alarm system
571113,beveller,had completed,beveling section
571113,that,stabilized,machine
571113,they,were releasing,pressure
571113,beveller,heard,noise
571113,beveller,saw,fluid spray
571113,beveller,hit,E
571113,beveller,shut,pressure unit
571113,gallons,contacted,ground
571113,fluid,cleared,_
571113,that,is used,to support and move the PFM
623353,employee,was installing,monitor
623353,Employee,refused,treatment
631328,area,got,burn
631328,Wrist,got,burn
556700,one,was pierced,bolt
586104,Subcontractor,pinched,hand fingers
586104,IP,informed,foreman
631255,Supervisor,reported,muscle pain
631255,IP,left,site
631255,IP,did not accept,offers
631255,IP,received,injection
631255,pain,has subsided,injection
631255,he,was cleared,to return to work
506982,he,came,alu tube
506982,he,gliding,alu tube
506982,He,touched,edge
506982,He,received,leave
506982,61402S Zeebrugge,cut,leg
509256,Water leakage,caused,damage
519506,IP,had secured,fuelling point
519506,IP,did not see,drainage pipe
519506,IP,landed,pain
519506,IP,felt,pain
530002,that,was starting,to move._x000D _
530002,D MAX vehicle,received,damage
530002,shuttle bus,received,damage
548454,spacer,shouted,end operator
548454,pipe,was being pushed,machine operator
548454,stop,was called,resulting in the sling at the front end slipping further back than normal
551279,Technician,was loading,pallet
551279,reversing spotter,was monitoring,side
551279,side,made,contact
551279,side,breaking,light mirror
559623,asphalt,arrived,to apply it under the assumption of covering this activity under general PTW which covers bituminous painting activities
559623,asphalt,has,time
559623,site team,decided,to apply it under the assumption of covering this activity under general PTW which covers bituminous painting activities
559623,which,covers,painting activities
586085,deux cables,antichute,du
586085,Ceci a entrainé la chute du bracing son propre,poids,FR
586085,it,damages,cable
586085,Chute d'un,bracing,lors d'un
595124,Operator,was washing,area
595124,safety goggles,started,to dug
595124,operator,washed,unintenional
595124,operator,was hit,splash
595124,operator,continued,washing the area
595124,Visor safety glasses,was used,to prevent dug
609488,pad eyes,were used,to lift and to do fit up of the beam on the on the SRP module under construction
609488,it,used,chain blocks
609488,it,was attached,chain blocks
509289,PSC employee,was holding,plate
509289,welder,struck,arc
509289,slag,fell,arm
509289,employee,was taken,medical
545673,dog,invaded,street
545673,it,lose,control
559648,ROV supervisor technician,observed,level alarm
559648,Launch system,shut,HPU pumps
559648,technician,returned,_
559648,ROV technician,investigated,fault
559648,ROV technician,checked,HPU pumps
559648,that,feeds,Frame rams
559648,area,drains,_ x000D
559648,area,was allowed,to drain
559648,residue,cleaned,to drain
559648,073102C001 LLOG CRWN,ANCHOR,SCR UMB
586145,he,turned,backpain
586145,he,got,backpain
595228,plug,caught,fire
595228,Assembly supervisor technician,noticed,fire
595228,Assembly supervisor technician,proceeded,to extinguish the fire out with a fire extinguisher
631283,Serimax,had completed,cutting a section of an 18 ” spool with a clam shell cutter to prep for a metrology weld
631283,cut section flange section,were connected,section
631283,_ Crew members,were positioned,_
631283,Pipe sections,were not cut,shell cutter
631283,section,lifted,flange section
631283,tip,stands,ground
631283,tip,contact,ground
631283,Investigation,started,-Completed_x000D
631283,JSA,updated,to have additional stands placed under flanges during all cutting operations and storing of shortened flange sections
631283,Cutting JSA,updated,to include a visual verification of the pipe being completely cut through prior to and moving or lifting
631283,they,have achieved,cut
631283,support stand,Test,flange
631283,support stand,can be removed,flange
631283,Serimax,had completed,cutting a section of an 18 ” spool with a clam shell cutter to prep for a metrology weld
631283,cut section flange section,were connected,section
631283,_ Crew members,were positioned,_
631283,Pipe sections,were not cut,shell cutter
631283,section,lifted,flange section
631283,tip,stands,ground
631283,tip,contact,ground
631283,Investigation,started,-Completed_x000D
631283,JSA,updated,to have additional stands placed under flanges during all cutting operations and storing of shortened flange sections
631283,Cutting JSA,updated,to include a visual verification of the pipe being completely cut through prior to and moving or lifting
631283,they,have achieved,cut
631283,support stand,Test,flange
631283,support stand,can be removed,flange
633882,block,hit,door
509287,Barriere loader,attempted,to enter the northbound lane of Guillory Street from the closed shoulder near the intersection of Sulphur Avenue and Guillory Street
509287,loader operator,looked,escort truck
509287,loader operator,had,escort truck
509287,loader,entered,lane
509287,dump truck,would get,loader
509287,dump truck,reversed,loader
509287,back,contacted,front
509287,back,damaged,front
562240,Cooting operator,was given,shock
571087,technicians,chalked,pipes
571087,One,gave,way
571087,employee,tried,to stop the pipe with his foot
571087,HSE manufacturing superintendent,had,discussion
571087,HSE manufacturing superintendent,highlighted,risk
571087,technicians,chalked,pipes
571087,One,gave,way
571087,employee,tried,to stop the pipe with his foot
571087,HSE manufacturing superintendent,had,discussion
571087,HSE manufacturing superintendent,highlighted,risk
631283,Serimax,had completed,cutting a section of an 18 ” spool with a clam shell cutter to prep for a metrology weld
631283,cut section flange section,were connected,section
631283,_ Crew members,were positioned,_
631283,Pipe sections,were not cut,shell cutter
631283,section,lifted,flange section
631283,tip,stands,ground
631283,tip,contact,ground
631283,Investigation,started,-Completed_x000D
631283,JSA,updated,to have additional stands placed under flanges during all cutting operations and storing of shortened flange sections
631283,Cutting JSA,updated,to include a visual verification of the pipe being completely cut through prior to and moving or lifting
631283,they,have achieved,cut
631283,support stand,Test,flange
631283,support stand,can be removed,flange
631283,Serimax,had completed,cutting a section of an 18 ” spool with a clam shell cutter to prep for a metrology weld
631283,cut section flange section,were connected,section
631283,_ Crew members,were positioned,_
631283,Pipe sections,were not cut,shell cutter
631283,section,lifted,flange section
631283,tip,stands,ground
631283,tip,contact,ground
631283,Investigation,started,-Completed_x000D
631283,JSA,updated,to have additional stands placed under flanges during all cutting operations and storing of shortened flange sections
631283,Cutting JSA,updated,to include a visual verification of the pipe being completely cut through prior to and moving or lifting
631283,they,have achieved,cut
631283,support stand,Test,flange
631283,support stand,can be removed,flange
506988,Cajun employee,was transferring,components
506988,stack,shifted,causing several of the components to slide off of the stack
506988,one,contacting,employee
522469,he,had,ophthalmalgia
537835,I,saw,patient
537835,Dr Carmen De Andres,diagnosed,patient
537835,I,attend,cabin
537835,I,had,concerns
537835,GAC,have,number x000D
537835,GAC,are awaiting,him
537835,we,are going,to be sailing without him
537835,I,have pack,bag
537835,I,given,it
537835,he,told,me
537835,he,was taken,agent
537835,Doctor,sent,him
537835,he,was seen,Doctor
537835,who,did,tests
537835,he,referred,him
573727,he,felt,pain
573727,He,paid,attention
573727,Camp,to visited,clinic
573727,he,was given,referral
579697,Pipe,lay,operations
579697,sea,was assessed,to be 1mHs moderate
579697,Actions,were taking,place x000D _
579697,Pipe,lay,operation
579697,which,involves,slewing pipe
579697,one,appeared,to be hanging down
579697,lanyard,was seen,to have been detached at one end
579697,Excessive Movement,hinged,flood light
579697,_ Immediate Actions,taken:_x000D,_
506996,sub contractor,was attempting,to maneuver a JLG man basket to a different location with a pressure washer hose hanging off the side
506996,While maneuvering the basket to a new location the pressure washer hose wrapped around a wall,mounted,flood light
514000,barge crew,positioned,mooring line
516803,com Dano Flexibrás telhado removido,por,rajada ventos
516803,com Dano Flexibrás telhado removido,por,rajada ventos
553882,tracker,cracks,EG202
553882,tracker,activates,rouler
553882,tracker,keeps,cable
553882,tracker,was wearing,gloves
553882,he,laughs,cable
553882,this,comes,cable
568163,Employee,felt,pop
502436,m,had passed,_
502436,m,table._x000D,_
502436,lifting arrangement,consisted,sling x000D
502436,chain fall,allowed,sling
502436,What,happened?_x000D,_
502436,longer adjacent,was deemed,change
502436,longer adjacent,would not allow,change
502436,This,prevented,end _
502436,bulges,were inspected,parties _
502436,decision,was made,parties _
502436,area,produced,sound _
502436,transfer,continued,installation
502436,it,was proved,to be because the outer sheath had expanded due to pressure within the annulus._x000D
502436,pressure,had been allowed,to purge from the line
502436,line OD,returned,to purge from the line
513990,man lift,started,to swing into position watching the basket to not strike the reel and the spotter
513990,basket,to not strike,reel spotter
513990,spotter,was signaling,operator
513990,man,did n't stop,waste barrel
513990,man,struck,waste barrel
513990,that,had used,floor
513990,16.10.23- Man lift,struck,barrel
530003,installer,was operating,Manitou manlift
530003,11.03.2017- Manlift,hit,scaffolding
609488,pad eyes,were used,to lift and to do fit up of the beam on the on the SRP module under construction
609488,it,used,chain blocks
609488,it,was attached,chain blocks
633822,crew,were performing,activity
509296,employee,was treated,to return to work with no restrictions
509296,employee,released,to return to work with no restrictions
511910,Fitter,was doing,cutting work
511910,spark,ignited,welding carton
511910,spark,caused,fire
511910,he,put,fire
511910,034693C009 Yamal LNG Penglai welding slag,caused,fire
514027,it,struck,beam
514027,it,hit,beam
514027,he,was maneuvering,equipment
514027,he,oversight,proximity
514027,he,stopped,activities
514027,Forklift Operator,struck,module
527750,employee,was lowering,impact wrench
527750,employee,was lowering,impact wrench
530049,vessel,was maintaining,heading
530049,tower,had,to be jacked from hole 32 to hole 39 so that the taker pipe was at the same angle as the pipe in the HOM
530049,who,had been operating,PHD
530049,J,lay,extension rails
530049,Pipelay Operators,started,jacking between holes 37 and 38
530049,gap,lay,extension rail ILT pipe
530049,tower,continued,to move towards the ILT
530049,extension rail,made,contact
530049,Barge Supervisor,called,stop
530049,he,noticed,edge
530049,Barge Supervisor,was touching,Lay extension rails
530049,He,requested,one
530049,_,Read,one
530049,system,will relieve,pressure
530049,This,lowers,arms
530049,investigation,has been initiated,_ x000D _
530049,report,will follow,_ x000D _
530049,Further,information:_x000D,_ x000D _
530049,Barge Foreman,took,eyes
598206,which,attaches,clump weight
598206,CW,have been recovered,NI
598206,1h,was required,to pull them out of the seabed ( with dynamic tensions from 150 t to 200 t for the 1st CW to pull out
598206,t,to be pulled,to pull them out of the seabed ( with dynamic tensions from 150 t to 200 t for the 1st CW to pull out Station keeping
598206,1h,was performed,Station keeping
598206,station keeping,was providing,peaks pull
598206,%,missing,80m3
598206,Ballasting,was completed,m
598206,Ballasting,kept,m
598206,AHTs NI,adjusted,position x000D
598206,ROV,was conducting,inspection
598206,CW,touched,seabed
598206,status,is providing,t
598206,positioning orientation,is received,_
598206,surveyor,is recording,depth
598206,it,shows,depth
598206,tether rigging,has been inspected,ROV
598206,Actions,identified,requiring follow - up ( Ref
598206,_ Grommet,recovered,to send ashore for further investigation into the failure
598206,_ Grommet,plans,to send ashore for further investigation into the failure
598206,Grommet analysis report,received_x000D,_ _
600895,20k MP hose,began,"to bubble at approximately 15,000 psi"
609589,he,turned,pump
609589,he,was struck,part
609589,This,caused,abrasions
609589,contractor,was wearing,safety glasses
609589,- Gremp S16 Technician,experienced,abrasion
636712,person,had,injury
556728,worker,does not close,nitrogen valve
556728,worker,close,cover._x000D _
556728,he,close,valve
556728,he,opens,cover
556728,operator,realizes,filling
556728,he,does not close,nitrogen valve
559647,asphalt,arrived,to apply it under the assumption of covering this activity under general PTW which covers bituminous painting activities
559647,asphalt,has,time
559647,site team,decided,to apply it under the assumption of covering this activity under general PTW which covers bituminous painting activities
559647,which,covers,painting activities
571087,technicians,chalked,pipes
571087,One,gave,way
571087,employee,tried,to stop the pipe with his foot
571087,HSE manufacturing superintendent,had,discussion
571087,HSE manufacturing superintendent,highlighted,risk
571087,technicians,chalked,pipes
571087,One,gave,way
571087,employee,tried,to stop the pipe with his foot
571087,HSE manufacturing superintendent,had,discussion
571087,HSE manufacturing superintendent,highlighted,risk
579794,Welder,began,"to feel discomfort ( irritation ) , to his right eye upper lid whilst working on deck , at the time that the discomfort was first experienced the individual was just walking along the deck , and not engaged in any welding or grinding activities._x000D"
579794,individual,was walking,activities._x000D
579794,individual,not engaged,activities._x000D
579794,individual,grinding,activities._x000D
579794,individual,had been conducting,grinding and welding throughout his shift
579794,individual,continued,to complete his shift
579794,individual,proceeded,x000D _ x000D
579794,body,entered,eye
579794,object,entered,eye._x000D
579794,individual,was wearing,safety glasses
579794,side protection,were damaged,eye protection
579794,side protection,did no provide,eye protection
579794,Medic,inspected,eye
579794,individual,flushed,eye
579794,which,did not remove,discomfort._x000D
579794,Medic,applied,ointment
579794,individual,was requested,to return for a follow up prior to going on to shift the next day on the 04th April._x000D
579794,irritation,was felt,individual
579794,It,was observed,HSEA
579794,individual,was requested,to frequent the Medic for a follow up._x000D
579794,individual,was given,pair
586144,Employee,was emptying,Engineering racks
586144,one,hung,pallet
586144,one,pushed,pallet
595227,Employee,was handling,pups
595227,Employee,dropped,parts
598204,which,has crossed,DHDT side road
598204,meter height,got pulled,F-15 boom injury property(cable
603736,tool,was removed,to begin flushing and testing operations
623337,HSE,received,call
623337,he,saw,spill
623337,he,smelled,diesel
623337,HSE,noticed,spill 4
623337,HSE,assessed,area
623337,HSE,added,berms
623337,ditch,had,sheen
623337,HSE,called,to call a cleanup company
623337,company,arrived,situation
623337,company,assessed,situation
623337,spill,to spread,further._x000D
623337,boxes,were moved,to be excavated
623337,soil,needed,to be excavated
623337,assessment,indicates,excavation
631283,Serimax,had completed,cutting a section of an 18 ” spool with a clam shell cutter to prep for a metrology weld
631283,cut section flange section,were connected,section
631283,_ Crew members,were positioned,_
631283,Pipe sections,were not cut,shell cutter
631283,section,lifted,flange section
631283,tip,stands,ground
631283,tip,contact,ground
631283,Investigation,started,-Completed_x000D
631283,JSA,updated,to have additional stands placed under flanges during all cutting operations and storing of shortened flange sections
631283,Cutting JSA,updated,to include a visual verification of the pipe being completely cut through prior to and moving or lifting
631283,they,have achieved,cut
631283,support stand,Test,flange
631283,support stand,can be removed,flange
631283,Serimax,had completed,cutting a section of an 18 ” spool with a clam shell cutter to prep for a metrology weld
631283,cut section flange section,were connected,section
631283,_ Crew members,were positioned,_
631283,Pipe sections,were not cut,shell cutter
631283,section,lifted,flange section
631283,tip,stands,ground
631283,tip,contact,ground
631283,Investigation,started,-Completed_x000D
631283,JSA,updated,to have additional stands placed under flanges during all cutting operations and storing of shortened flange sections
631283,Cutting JSA,updated,to include a visual verification of the pipe being completely cut through prior to and moving or lifting
631283,they,have achieved,cut
631283,support stand,Test,flange
631283,support stand,can be removed,flange
506998,Turner forklift operator,was offloading,pallets
506998,truck driver,pull,it
506998,truck driver,set,it
506998,forklift operator,started,dragging the pallet out of the conex
506998,piece,made,contact
568165,min,descended,stairs
568165,holding on to the handrail,slipped,stairs
568165,IP,felt,pain
571064,we,pulled,phone calls
571064,we,made,phone calls
502475,OCS,Instructed,supervisor _ x000D
502475,team,worked,him
502475,team,assisted,him
502475,supervisor,instructed,crane driver
502475,crane driver,commenced,lowering the main block as instructed by ARGS clump weight positioned on the aft end of the “ dance floor ” landing area
502475,crane driver,was tensioned,causing the right sided weak link to part
502475,This,was followed,link parting
502475,parting,caused,damage
502475,Immediate Action,Taken:_x000D,_ _
502475,stop,was called,rigging supervisor Time
502475,crane driver,deselected,tension mode
502475,crane driver,commenced,lowering the main block as instructed by the assistant rigging supervisor
502475,crane driver,boomed,x000D _ link x000D _ x000D
502475,block,knuckled,x000D _ link contact x000D _ x000D
502475,he,depressed,command button
502475,block,made,contact
502475,crane operator,had performed,operation
502475,Olympic,will implement,action
509283,team,were cutting,residue
509283,it,slipped,hand
509283,it,jammed,hand
509283,operator,managed,to free his fingers from the umbilical and
509283,fingers,were starting,to swell up and that he was in some pain
509283,who,kept,hand
509283,he,did,which
509283,he,has,hairline fracture
509283,IP,was wearing,gloves
509283,17.09.16 IP,trapped,finger
509283,17.09.16 IP,sustained,hairline fracture
516822,event,took,place
516822,Global,was backing,test pipe joints
516822,pipe,came,test pipe joints
516822,it,was supported,track
516822,pipe,continued,to back up the firing line the pipe was making contact with the lower part of the hard barricade gate at the aft end of the tensioner ( gate station 8)
516822,pipe,was making,contact
516822,movement,dislodged,pin bar x000D _
516822,this,was expelled,pin bar x000D _
516822,Tension machine gate,dislodged,to deck
516822,Tension machine gate,expelled,to deck
522496,desktop,stopped,working
522496,electrician,checked,it
522496,it,was found,it
530036,Admiralty Pier,carrying,MLP trials
530036,pig,to pushed,pipe
530036,pig,had reached,position
530036,which,was pumped,Enermech
530036,Enermech,were requested,to increase flow rate
530036,. Enermech,were requested,to increase flow rate_x000D _ 23:14 	 Flow rate at 200ltrs / min . Pig moving approx
530036,m m,started,to move very quickly without increasing the flow rate
530036,Enermech,stopped,pumping
530036,Enermech,closed,discharge valve
530036,pig,kept,moving and water was exiting the pipe
530036,pig,hit,stopper bars
530036,bars,bent,way pipe
530036,bars,gave,way
530036,pig,exited,pipe
530036,pig,was followed,volume
530036,He,had,reel
530036,he,attempted,to move clear of the pipe
530036,inertia reel brake,activated,resulting in the Barge Supervisor
530036,Admiralty Pier,carrying,MLP trials
530036,pig,to pushed,pipe
530036,pig,had reached,position
530036,which,was pumped,Enermech
530036,Enermech,were requested,to increase flow rate
530036,. Enermech,were requested,to increase flow rate_x000D _ 23:14 	 Flow rate at 200ltrs / min . Pig moving approx
530036,m m,started,to move very quickly without increasing the flow rate
530036,Enermech,stopped,pumping
530036,Enermech,closed,discharge valve
530036,pig,kept,moving and water was exiting the pipe
530036,pig,hit,stopper bars
530036,bars,bent,way pipe
530036,bars,gave,way
530036,pig,exited,pipe
530036,pig,was followed,volume
530036,He,had,reel
530036,he,attempted,to move clear of the pipe
530036,inertia reel brake,activated,resulting in the Barge Supervisor
532550,one,did,grinding
532550,he,used,Meindo tools
532550,he,used,disc
532550,personnel,stopped,activity
532550,personnel,did,grinding
565103,Wellservicer,manned,_
565103,smell,was noticed,coming from Heli Lounge – D Deck
565103,area,was checked,to take the ceiling panelling out for a thorough examination
565103,it,was decided,to take the ceiling panelling out for a thorough examination
565103,panels,were dismantled,panels
565103,panels,reached,panels
565103,cables part,melted,case
573798,team,left,assembly _ x000D _
616000,We,opened,well
616000,he,called,me
616000,I,identified,leak
616000,We,opened,well
616000,he,called,me
616000,I,identified,leak
626056,Welder,was changing,tip
626056,welders,pushed,emergency stop
626056,Rikki Mackay,informed,TechnipFMC Electrician
626056,Rikki Mackay,reset,line
522468,electrician Alexey Borisov,was replacing,receptacle
522468,electrician Alexey Borisov,cut,palm
522468,IP,reported,accident
522468,latter,sent,IP
545621,He,hit,car
545621,He,ended,race
568132,Operator,was driving,forklift
568132,operator,completed,ODC
568132,operator,found,issues
568132,forklift,was traveling,speed limit
568132,area,was barricaded,service records record
568132,Sunbelt rentals,reviewed,service records
568132,area,have,record
577032,Party Contract Driver,had,collision
577032,load,to shift,damaging the equipment and trailer
586088,Mike Leach Brock Sonneman,had travelled,Toyota Hilux Ute
586088,Mike Leach Brock Sonneman,owned,Toyota Hilux Ute
586088,we,swap,vehicles
586088,they,needed,Ute
586088,They,took,Ute._x000D _ x000D
586088,_ TFMC FST,realized,Ute._x000D _ x000D
586088,they,had forgotten,Digital Gauge
586088,Mike Leach,volunteered,to travel back to Lease 5 to pick it up
586088,Hiace Van,had bogged,itself
586088,I,did not want,to drive onto the lease for fear of getting bogged
586088,we,were instructed,not to reverse at night as visibility was poor
586088,I,decided,to park the van on the road next to the barriers at the Lease entrance
586088,I,could depart,going forward
586088,I,parked,Digital Gauge
586088,I,picked,Digital Gauge
586088,I,checked,mirrors
586088,I,proceeded,to pull off slowly while steering left to enable U‐turn & pushed the side of the van into the barrier causing damage ( dent / scrape ) to the side entry door
586088,I,stopped,vehicle
586088,I,made,vehicle damage
586088,I,assessed,damage
595152,Supervisor,was observed,inspector
595152,employee,was notified,CTR Safety Officer
595152,Supervisor,followed,instruction._x000D
595152,employee,was screwing,connection bolts
595152,this,was known,Micro Project Manager
595152,He,travelled,IMMEDIATE ACTIONS:_x000D
595152,JSA,mentions,requirements rules
600828,Employee,was using,pry bar
600828,employee,left,bar unattended
600828,pry bar,fell,hitting the employee in the head causing a minor injury
502494,electrician,checked,condition
502494,electrician,saw,condition
509297,Turner employee,was locating,numbers
509297,employee,attempted,to manually slide a piece of steel over to locate the stencil number
509297,employee,pinched,thumb
509297,she,was treated,to return to full duty without restrictions
509297,she,released,to return to full duty without restrictions
514028,it,was swept,activities
527751,I,took,elevator car
527751,car,started,descending
527751,car,was,elevator car
527751,car,stopped,elevator car
527751,I,tried,x000D _
527751,car,would respond._x000D,_
527751,I,pushed,emergency phone button
527751,operator,answered,call
527751,operator,started,taking my information
527751,I,thought,call taking my information
527751,operator,advised,me
527751,I,tried,to interrupt to let the operator know I was stuck as well
527751,I,rang,emergency line
527751,I,told,her
527751,I,overheard,conversation
527751,I,told,name
527751,me,spell,which
527751,I,told,operator
527751,I,had tried,test
527751,she,proceeded,x000D _
527751,operator,advised,me
527751,I,heard,someone
527751,I,rung,operator
527751,I,required,attention
527751,They,told,me
527751,someone,to come,it
527751,someone,fix,it
527751,They,could n’t give,estimate _ _ x000D _
527751,power,resumed,estimate _ _ x000D _
551364,temp,fence_x000D,_
551364,project CSA contractor,started,to do old fence demolishing work as planned
551364,CSA contractor_x000D _,checked,work details
551364,CSA contractor,applied,work permit
551364,CSA contractor,started,to demolish all those remaining pipes on the ground._x000D _ Around 10:00 on Aug22
551364,SLIC operation colleague,walked,wires
551364,SLIC operation colleague,found,wires
551364,he,told,CSA contractor
551364,CSA contractor,stopped,demolishing work
551364,SLIC maintenance contractor,would repair,wires
595238,Employee,was breaking,shipping crate
595238,Employee,missed,box
595238,employee,strikes,himself
600898,30.07.2018 fitter,dismantling,spool
600898,wrench spanner,injured,himself
600898,fitter,used,club hammer
600898,wrench,came,fitter
600898,wrench,hit,fitter
600898,He,needs,evacuation
600898,It,is established,that:_x000D
600898,IP,was using,sledgehammer Impact wrench _
600898,IP,set,_
600898,fitter,was using,force
606867,VelesstroyMontazh,breaking,boxes
616011,ship,had,"to move to attract it in the boya 2 , where when it approached the same , the boya cable moved down from the boya 's boya 's boya 's boya 's boya 's boya"
616011,it,approached,same
636717,vehicle accident,happened,involving Company car with plate registration LD-70 - 49 - FO with 2 occupants inside vehicle._x000D
636717,vehicle accident,happened,involving Company car with plate registration LD-70 - 49 - FO with 2 occupants inside vehicle._x000D
514015,Jati One,completed,carrying out crew transfer onto NC3 CPP of 11pax Technip personnel
514015,transiting her Genset AE,suffered,breakdown
514015,she,was being pushed,wind current
514015,radio room,ordered,SV Perdana Marathon vessel
514015,SV Perdana Marathon arriving at the Jati One location,deployed,messenger line
514015,SV Perdana Marathon arriving at the Jati One location,towed,Jati One
514015,Jati One,tied,secured onto LCT mooring buoy
514015,she,received,Marathon communication message
514015,Master,received,information
514015,that conducting sounding at engine room oiler,noticed,leaking
514015,that conducting sounding at engine room oiler,found,hole crack
514015,vessel,was leaking,that
514015,Master,received,suggestion
522485,driver,kept,speed h
522485,approaching the turn towards the South and North Camps driver,lowered,speed
522485,wheel,lost,road
522485,car,went,road
522485,driver,informed,OMC assistance
522485,passenger,took,car
522485,driver,kept,speed h
522485,approaching the turn towards the South and North Camps driver,lowered,speed
522485,wheel,lost,road
522485,car,went,road
522485,driver,informed,OMC assistance
522485,passenger,took,car
573785,frac trees,were rigged,BASS
573785,TechnipFMC,installed,production tree
573785,TechnipFMC,torqued,connection
573785,I,landed,PBMO lubricator
573785,I,planned,"to install a 2 "" Type H Two Way Check Valve"
573785,I,failed,to set the parking brake
573785,I,think,to set the parking brake
573785,I,bumped,shifter
573785,I,jumped,it parking brake
573785,I,took,it
573785,I,set,parking brake
573785,Damage,was caused,PBMO lubricator
573785,We,removed,PBMO lubricator
573785,We,loaded,it
573785,tools,were cleaned,location
573785,we,left,location
579772,incident,took,place
579772,driver,was reversing,it
579772,he,hit,compactor
579772,he,pushed,compactor
579772,he,did not realize,signals
579772,that,were given,mechanics
579772,them,alerting,him
579772,driver,joined,Project
579772,he,has,approx
579772,driver,attended,Project safety inductions trainings
579772,driver,has,fit
579772,driver,has,years _ _ x000D CONCLUSION_x000D
579772,driver,did not pay,attention
579772,driver,started,maneuvers
592209,propane torch flame,started,to be used nearby the welding canopy
592209,SBCTR personnel,used,fire
592209,personnel,did not share,information
592209,fire extinguisher,has been used,hole
592209,he,saw,hole
592209,He,informed,HS Department
592209,HS Department,contacted,management
592209,incident,has taken,place
592209,he,forgot,to mention as it was a small event with which they dealt effectively
609565,Employee,smashed,finger
609565,employee,was operating,crane
609565,employee,tried,to guide the test flange onto the cross
609565,He,had,hand
609565,test flange,fell,ring finger
609565,test flange,smashed,ring finger
609565,He,was wearing,Cut gloves
609565,icepack,was given,Ibuprofen
609565,he,took,Ibuprofen
623324,Skua crew,identified,damage _
623324,they,called,FPSO deck crew
623324,personnel,injured,case
502466,TUI technicians,observed,contractors
502466,they,were approaching,to speak with the contractors
502466,they,witnessed,contractor cross
502466,stop,was called,contractors
502466,HSE,sent,contractors
502466,HSE,is investigating,incident
502466,HSE,will review,video evidence
502466,company,had,orientation
514014,truck driver,was delivering,equipment _ _ x000D _
514014,worker,noticed,equipment _ _ x000D _
514014,he,was feeling,pain _
514014,he,had,pain _
514014,which,showed,result
514014,pressure blood sugars,were tested,_ to be negative_x000D _
514014,pressure blood sugars,normal_x000D,_
514014,test,found,to be negative_x000D _
519530,Bourbon Evolution,is carrying,Survey ROV work _ x000D _ x000D _ Sea well
519530,heading,was set,"to minimize the ship 's movements , rolling and pitching._x000D _"
519530,IP,went,"to minimize the ship 's movements , rolling and pitching._x000D _"
519530,he,pinched,index
519530,IP,worked,_ _ x000D
519530,FAC,not work,Kaombo Crew traps finger
579770,HSS Coordinator,attracted,workers attention
579770,HSS Coordinator,asked,him
579770,worker,responded,_
579770,he,had exposed,himself
579770,working at height safety,was covered,supervisor
579770,Additional,Information:_x000D,_
579770,worker,joined,project
579770,worker,received,safety induction
579770,He,has,years _ x000D _
579770,Worker,has taken,part
619959,IP,step,leg
619959,IP,received,strain
619959,Aid Project Specific_Panipat_28/12/2018_IP,received,strain
636691,He,was lifting,end plate
636691,cm,trapped,finger
525097,ZPGS fixer,was preparing,steel structures
562217,IP,Was performing,grinding work on convection module ( 44 - F-202 ) which was kept on packing structure
562217,grinder,lost,control _
562217,grinding machine,fell,control injury _ aid
562217,IP,received,injury
562217,Injured Person,rushed,control injury _ aid
562217,grinder,took,aid
562217,doctor,advised,him
562217,XXXX Non Project,Specific_12/5/2017_Dahej,_
628533,which,seemed,to sustain the load of excavator
633855,Excavation,was completed,property damage
633855,workers,was working,_
633855,NM_075990C001_Excavator,Hit,scaffolding
636696,Jeff,was using,degreaser
636696,arm,started,to burn
636696,arm,was soaked,to burn
636696,He,took,Tyvex
636696,He,notified,myself
636696,skin,had turned,red
636696,skin,started,to burn and blister
636696,him,wash,area
636696,we,called,Axiom
636696,they,advised,Jeff
636696,Tammy nurse,told,Jeff
636696,Jeff,followed,instructions
509298,crane,approached,transport gate
509298,operator,applied,cranes
509298,block,to swing,making contact with the overhead communication line
511917,fitter,did n't attended,safety training
514030,scaffolder,was resting,hand _
514030,tube end,hit,hand
514030,colleague,was removing,meter scaffold tube
514030,end,hit,IP ’s hand
514030,which,resulted,laceration
527752,section,fell,worker
527752,section,brushed,worker
527752,employee,was cleared,to return to work with no restrictions
527752,section,fell,worker
527752,section,brushed,worker
527752,employee,was cleared,to return to work with no restrictions
548504,23/07/2017,stepped,side face
